Case,gate length,Theta,Phi,dt,combination,fidelity,total time,computing time
case83,27,2.558664730105021,3.393872263605529,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4]",0.9920321540288041,70.2,285.53826689720154
case84,26,2.346814668,2.524830915,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 1, 3]",0.9995059091791493,67.60000000000001,284.98298501968384
case85,10,0.954725792,5.632682619,2.6,"[4, 4, 1, 1, 3, 2, 2, 2, 4, 4]",0.9990003564471339,26.0,281.44243812561035
case86,26,2.409014203,5.983924238,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1]",0.998861638704015,67.60000000000001,285.90127325057983
case87,4,0.441385912,1.642788803,2.6,"[4, 1, 1, 3]",0.9985881949976532,10.4,2.366501808166504
case88,32,3.011598464,2.078097553,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1]",0.9927167756420053,83.2,289.57343196868896
case89,4,0.435123313,3.186669546,2.6,"[1, 3, 3, 2]",0.9989410724376097,10.4,2.1642515659332275
case90,11,0.903888255,1.97557229,2.6,"[1, 1, 3, 3, 4, 4, 4, 1, 1, 1, 3]",0.9995899020843096,28.6,278.7208113670349
case91,11,0.96715445,0.578369307,2.6,"[4, 1, 1, 3, 3, 3, 2, 4, 4, 1, 1]",0.9998721035721034,28.6,282.0169529914856
case92,29,2.794637125,1.512862631,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",0.9971137696303107,75.4,282.72549748420715
case93,10,0.901307209,2.699430223,2.6,"[3, 3, 2, 4, 4, 1, 1, 1, 3, 3]",0.999548037030205,26.0,279.0144922733307
case94,10,0.7858943632430794,5.778222895446302,2.6,"[4, 4, 1, 3, 3, 2, 0, 2, 4, 4]",0.9999109037150542,26.0,278.727103471756
case95,3,0.347599235,6.237518436,2.6,"[4, 4, 1]",0.9982495007922375,7.800000000000001,0.3406832218170166
case96,26,1.948187725446584,5.662466569181532,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 3, 2, 2]",0.9997068043821308,67.60000000000001,283.42644357681274
