gate lenght,Theta,Phi,dt,combination,total time,computing time
8,1.322602637,1.032139899,5,"[2, 4, 4, 1, 3, 2, 4, 1]",40,16.62057805
15,2.026640349,6.037556145,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 0, 2, 4, 3]",75,389.9759159
16,2.665549613,1.160714824,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1]",80,75.75066519
1,0.270098733,3.397371976,5,[2],5,0.165035009
14,2.148741244,3.620116321,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",70,140.7536674
14,1.931267812,1.324004505,5,"[1, 3, 2, 4, 4, 3, 3, 4, 1, 1, 3, 4, 1, 1]",70,311.586489
6,0.962658864,0.948733061,5,"[1, 3, 3, 2, 4, 1]",30,9.593189001
7,1.19607749,2.008497992,5,"[4, 1, 3, 2, 4, 1, 1]",35,2.993643284
12,2.069205296,5.10320739,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2]",60,10.57326913
1,0.243733077,0.408605232,5,[1],5,0.165035248
13,2.0864166,0.438448601,5,"[1, 3, 4, 4, 1, 3, 4, 4, 1, 3, 2, 4, 1]",65,87.31592083
17,2.847173987,3.208386401,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 3]",85,116.7991714
2,0.453386172,3.790572082,5,"[3, 2]",10,0.096028805
1,0.201189334,2.784795975,5,[3],5,0.015011072
9,1.505684513,5.484861963,5,"[1, 3, 3, 2, 4, 1, 3, 2, 4]",45,22.87491703
0,0.073725942,6.169125212,5,[],0,0.002000093
13,2.031230666,3.126694759,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 0, 2]",65,87.86638379
6,0.906397556,2.863031351,5,"[3, 2, 2, 4, 1, 3]",30,7.808673382
7,1.035478265,3.104217657,5,"[1, 3, 2, 2, 4, 1, 2]",35,27.74839282
0,0.042226305,5.08268086,5,[],0,0.001992464
9,1.576808414,3.391712534,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2]",45,3.80081749
