Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case92,18,1.375855535053525,1.639741960246072,2.569871345776805,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 3, 1, 3, 3, 2, 2]",46.800000000000004,272.8539402484894
case93,1,2.0726164528697946,2.260272535538151,3.281501801395658,2.6,[-1],2.6,2788.571977853775
case94,26,2.070139869013067,4.583517087687783,4.548410232181534,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 2, 1, 2]",67.60000000000001,659.7957117557526
case95,27,2.4438356326274278,4.1231263742540625,5.038692582673689,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3]",70.2,34.43846774101257
case96,5,0.6293599454499574,5.74953513920805,4.548415506709243,2.6,"[2, 2, 4, 4, 1]",13.0,2.2875101566314697
case97,26,2.2390305686020566,2.2964010086260247,4.222270273167266,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2]",67.60000000000001,105.52599048614502
case98,10,0.7406235953844402,5.498344019273765,2.661856552120348,2.6,"[2, 2, 4, 4, 1, 1, 3, 2, 3, 0]",26.0,17.73082447052002
case99,11,0.8223244817794925,3.341750793247315,4.46567296633188,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 4]",28.6,21.902368307113647
case100,1,1.9639398689386034,6.025451689632158,6.021493603458513,2.6,[-1],2.6,2717.4810333251953
case101,18,1.6206084690258848,0.2699638776327172,1.5084383886182666,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2]",46.800000000000004,12.471588850021362
case102,33,2.966585743529008,3.9089558529587363,2.7345701865732015,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3]",85.8,145.62049913406372
case103,1,1.0505522553117908,1.0454742113273374,4.241272377084934,2.6,[-1],2.6,2677.151547908783
case104,4,0.45324247750267294,3.6600100149117814,4.405055713204981,2.6,"[2, 4, 4, 1]",10.4,2.271376371383667
case105,1,1.6296172695292888,3.7643063425337884,2.5186581470916223,2.6,[-1],2.6,2837.916292667389
case106,27,2.2516144655991406,1.5350668953304403,0.34075097887132483,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 3, 0, 2]",70.2,238.63881492614746
case107,33,2.729342543483442,6.0320630572095615,5.131151118177216,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 0, 4, 2, 4]",85.8,568.1731953620911
case108,18,1.5904004581388302,3.3816472610782378,2.4007991635958286,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0]",46.800000000000004,17.098597764968872
case109,1,1.118200325137335,5.045312710403159,0.6683905947174856,2.6,[-1],2.6,3000.037285089493
case110,26,2.2795560482979913,4.08330881291358,5.666931408458719,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 0]",67.60000000000001,64.6192536354065
