gate length,Theta,Phi,dt,combination,total time,computing time
8,0.782386181,4.582353742,3,"[2, 4, 4, 1, 3, 2, 2, 4]",24,19.8607533
27,2.997893796,5.459616445,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4]",81,125.8930638
27,2.978817645,5.282931257,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4]",81,121.8438869
10,1.178900553,0.844220552,3,"[4, 1, 1, 3, 3, 2, 4, 4, 1, 1]",30,11.62591743
8,0.943674248,5.173871713,3,"[4, 1, 1, 3, 3, 2, 4, 4]",24,8.817592382
16,1.578208957,1.957390572,3,"[1, 3, 3, 2, 2, 4, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",48,102.3376901
19,1.931122151,4.805410759,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 2, 2, 4]",57,185.3520834
12,1.024607728,2.938337202,3,"[4, 1, 1, 3, 3, 2, 4, 1, 1, 3, 1, 2]",36,89.47623014
27,2.904015685,2.651165125,3,"[2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 4, 1, 1, 3]",81,135.2191491
5,0.498836642,4.458654855,3,"[1, 3, 3, 2, 4]",15,4.610140324
2,0.319697881,1.519715783,3,"[1, 1]",6,0.630801916
27,2.968588869,5.625535729,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4]",81,120.3969207
18,1.739469509,3.970924097,3,"[1, 3, 3, 2, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 3, 3, 2]",54,166.1872346
21,2.020042748,6.008124444,3,"[1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 2, 4, 1, 1, 3, 3, 2, 4, 4, 3]",63,351.982985
