gate length,Theta,Phi,dt,combination,total time,computing time
6,0.719529025,5.63135349,2.6,"[3, 3, 2, 2, 4, 4]",15.6,3.664815187
7,0.734614627,5.009023983,2.6,"[1, 1, 3, 3, 2, 2, 4]",18.2,6.067355871
5,0.524612258,4.541995412,2.6,"[3, 3, 2, 2, 4]",13,10.68938899
4,0.53687221,4.309807827,2.6,"[3, 2, 2, 2]",10.4,12.72984529
5,0.587592753,5.19555346,2.6,"[3, 2, 2, 4, 4]",13,15.77550745
6,0.604625584,4.385690706,2.6,"[1, 3, 3, 2, 2, 4]",15.6,17.81198192
6,0.65549604,4.432478728,2.6,"[1, 3, 3, 2, 2, 4]",15.6,22.39100504
7,0.700444397,0.449394493,2.6,"[3, 2, 2, 4, 4, 1, 1]",18.2,24.19238019
6,0.69651373,1.215646897,2.6,"[2, 4, 4, 1, 1, 1]",15.6,30.62784576
8,0.72876974,5.996831301,2.6,"[1, 3, 3, 2, 2, 4, 4, 4]",20.8,48.88692617
4,0.528311936,3.043372839,2.6,"[1, 3, 3, 2]",10.4,0.377084017
4,0.528052327,3.341784935,2.6,"[1, 3, 3, 2]",10.4,0.693154812
4,0.51292698,0.907737443,2.6,"[4, 4, 1, 1]",10.4,0.884197712
5,0.52570555,5.334303626,2.6,"[3, 2, 2, 4, 4]",13,1.336297512
5,0.594194718,0.800190893,2.6,"[2, 4, 4, 1, 1]",13,1.744389534
5,0.634053683,1.616660074,2.6,"[4, 4, 1, 1, 3]",13,1.770394087
5,0.613478275,1.851355495,2.6,"[4, 4, 1, 1, 3]",13,1.781398296
5,0.596386383,1.859298269,2.6,"[4, 4, 1, 1, 3]",13,1.982443094
6,0.645491322,1.541367808,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.60858202
6,0.669431399,0.156901835,2.6,"[3, 2, 2, 4, 4, 1]",15.6,3.285734415
6,0.582312853,2.705279761,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.562796116
6,0.749015731,2.407394143,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.632812023
6,0.627068532,4.150178032,2.6,"[1, 1, 3, 3, 2, 2]",15.6,3.664818287
7,0.734960672,5.015109587,2.6,"[1, 1, 3, 3, 2, 2, 4]",18.2,6.067355871
5,0.540024261,6.076007201,2.6,"[2, 2, 4, 4, 1]",13,10.68938947
4,0.537890786,2.658970698,2.6,"[1, 3, 3, 3]",10.4,12.72984529
5,0.59267708,5.202207535,2.6,"[3, 2, 2, 4, 4]",13,15.77552557
6,0.602822495,2.765607463,2.6,"[4, 1, 1, 3, 3, 2]",15.6,17.81298137
6,0.69109114,2.087880873,2.6,"[4, 4, 1, 1, 3, 3]",15.6,22.39200473
7,0.69685311,5.163400458,2.6,"[1, 3, 3, 2, 2, 4, 4]",18.2,24.1944077
6,0.70014161,5.942172759,2.6,"[3, 2, 2, 4, 4, 4]",15.6,30.62884521
8,0.725059318,2.84592529,2.6,"[2, 4, 4, 1, 1, 3, 3, 3]",20.8,48.88993454
4,0.548662053,3.034371057,2.6,"[1, 3, 3, 2]",10.4,0.377084255
4,0.545943581,0.13789419,2.6,"[2, 4, 4, 1]",10.4,0.693154812
4,0.512931549,3.942027375,2.6,"[3, 3, 2, 2]",10.4,0.884197712
5,0.523161776,0.605203988,2.6,"[2, 4, 4, 1, 1]",13,1.336297989
5,0.612266459,2.305749941,2.6,"[4, 1, 1, 3, 3]",13,1.744389534
5,0.597655683,3.993272883,2.6,"[1, 3, 3, 2, 2]",13,1.770394325
5,0.616606785,0.156646375,2.6,"[2, 2, 4, 4, 1]",13,1.781398296
5,0.520032708,1.964503133,2.6,"[4, 4, 1, 1, 3]",13,1.982443333
6,0.633273567,1.564209378,2.6,"[2, 4, 4, 1, 1, 3]",15.6,2.608582735
6,0.729642281,1.681211798,2.6,"[2, 4, 4, 1, 1, 3]",15.6,3.286729813
6,0.638516247,1.096437529,2.6,"[2, 2, 4, 4, 1, 1]",15.6,3.562796116
6,0.722503374,5.511409319,2.6,"[3, 3, 2, 2, 4, 4]",15.6,3.6328125
6,0.662722306,2.502360944,2.6,"[4, 4, 1, 1, 3, 3]",15.6,3.664818287
7,0.680948456,0.350492627,2.6,"[3, 3, 2, 2, 4, 4, 1]",18.2,6.06735611
5,0.520950051,4.565673532,2.6,"[3, 3, 2, 2, 4]",13,10.68938971
4,0.52073721,1.116996537,2.6,"[4, 1, 1, 1]",10.4,12.72984552
5,0.584541752,5.177463947,2.6,"[3, 2, 2, 4, 4]",13,15.77552629
6,0.604734296,4.341505673,2.6,"[1, 3, 3, 2, 2, 4]",15.6,17.81298137
