gate length,Theta,Phi,dt,combination,total time,computing time
33,3.116359862,3.94061976,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3]",85.8,161.8196039
33,2.989645314,4.679900551,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3]",85.8,161.3388562
4,0.42371975,4.360109528,2.6,"[3, 3, 2, 2]",10.4,1.285723209
1,1.83224557,2.84260368,2.6,[-1],2.6,4856.889986
0,0.053450577,3.190867737,2.6,[],0,0
11,0.602164643,1.907717252,2.6,"[1, 1, 3, 3, 2, 2, 2, 1, 3, 0, 0]",28.6,560.8690138
5,0.548220004,2.721479359,2.6,"[1, 1, 3, 3, 3]",13,6.084817648
4,0.505308202,4.061164821,2.6,"[3, 3, 2, 2]",10.4,1.269999981
26,2.149486771,3.068192554,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0, 4]",67.6,363.1888576
5,0.625100417,4.586896415,2.6,"[3, 3, 2, 2, 4]",13,3.842860222
18,1.23775205,3.973420551,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 1, 4, 2, 0, 4]",46.8,3388.632895
0,0.132305614,2.837625567,2.6,[],0,0
27,2.205270106,4.913358083,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 1, 3, 3, 4]",70.2,818.9045861
27,2.298861706,4.919295445,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 3, 4]",70.2,224.7852366
0,0.157034405,5.497867647,2.6,[],0,0
12,0.915358928,3.673156406,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 0, 3]",31.2,59.66213632
10,0.755208277,5.686068926,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 4, 2]",26,24.69659829
26,1.995016136,0.860126405,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4, 0, 1, 4, 4]",67.6,4722.079322
1,1.747511322,1.184600119,2.6,[-1],2.6,4841.390777
5,0.631284968,1.456781249,2.6,"[4, 4, 1, 1, 3]",13,3.87300849
3,0.404209363,2.181725465,2.6,"[1, 1, 3]",7.8,0.517682076
1,1.991340924,1.0604821,2.6,[-1],2.6,4730.709546
18,1.365389056,2.235469761,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 2, 1]",46.8,371.667433
5,0.576019615,4.385837321,2.6,"[3, 3, 2, 2, 2]",13,6.007706404
32,3.100546107,4.575619486,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3]",83.2,47.03739142
34,2.892631642,4.864770535,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 2]",88.4,616.8933396
18,1.669492209,5.375199921,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",46.8,19.88364267
10,1.038529475,3.250979815,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",26,5.864556551
1,1.965792535,2.39351567,2.6,[-1],2.6,4914.911273
