Case,gate length,Theta,Phi,dt,DL combination,DL fidelity,DL real time,DL computing time
case5491,35,0.7536819472826576,1.470123843522198,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 2 4 4 4 3 3],0.86459,91.0,0.1039
case5492,35,0.2252496076733309,1.112060732602747,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],0.98737,91.0,0.12213
case5493,35,2.009037820316744,5.268053456597192,2.6,[0 0 0 0 0 0 0 0 0 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 0 2 0 1],0.28783,91.0,0.79187
case5494,35,2.8392529893833225,6.181536874443285,2.6,[0 0 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 3 2 2 0],0.02268,91.0,0.08872
case5495,35,2.1889802142444887,0.47673315070376976,2.6,[0 0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 3 3],0.21022,91.0,0.10805
case5496,35,1.7044456749098515,2.5025498620379723,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3],0.43337,91.0,0.09328
case5497,35,1.8330218430484793,5.331474678130314,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4],0.37038,91.0,0.24301
case5498,35,2.9278248922700665,4.068952511039871,2.6,[0 0 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 1 3 3],0.01138,91.0,0.11298
case5499,35,0.32676926566366066,3.7320630735203295,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2],0.97354,91.0,0.15123
case5500,35,1.0228604511813792,0.5250269587552486,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 1 3 3 2 2 4 4 4 1],0.76046,91.0,0.11738
case5501,35,1.337877811243626,2.377176737953272,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 3 2 2],0.61541,91.0,0.10152
case5502,35,0.09531569672550794,4.607785069447008,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.99773,91.0,0.10961
case5503,35,1.1084473053790591,4.704534650974106,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 4 1 1 3 3 2 2 4],0.72303,91.0,0.08286
case5504,35,2.1447508794728467,0.770264488790869,2.6,[0 0 0 0 0 0 0 0 0 1 1 3 3 2 2 4 4 1 1 3 3 2 2 4 4 1 1 3 3 2 2 2 4 0 3],0.22852,91.0,0.10418
case5505,35,0.1855358373078948,1.5162332013709965,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.99142,91.0,0.09779
case5506,35,0.594914393890241,3.6432635748868654,2.6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 2],0.9141,91.0,0.14856
