Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case95,34,2.9142618074502598,3.4907870593297203,0.183846520822308,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4, 1]",88.4,186.20127248764038
case96,26,2.095349682604088,4.98380888066349,2.934286175321972,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 3, 4, 1]",67.60000000000001,481.7377724647522
case97,1,1.0934177469288553,5.304032137782661,0.9440698654877216,2.6,[-1],2.6,2040.7759428024292
case98,18,1.5946866460912719,6.214386454345998,2.387517551383441,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 0]",46.800000000000004,11.103397130966187
case99,1,1.11419553255369,6.169478203668285,2.6176366011898238,2.6,[-1],2.6,2160.2801146507263
case100,32,3.043347703932729,5.735699447368925,5.177769037646286,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4]",83.2,23.478991508483887
case101,11,0.8278784556851833,0.5908382760907328,4.5949887558999905,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 4]",28.6,16.36759042739868
case102,18,1.6589816542931137,3.6656824991670622,2.3585302563946327,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",46.800000000000004,8.921068906784058
case103,34,2.8325139189029795,3.795097592666542,0.14302021540862234,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 2, 0]",88.4,291.2607412338257
case104,1,1.7557813721987876,2.3596541340942037,1.900986280103379,2.6,[-1],2.6,2085.3485386371613
case105,18,1.4773184658348508,3.5871204423298755,0.10099665607631474,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 3, 0]",46.800000000000004,39.213815212249756
case106,18,1.4670230333592507,0.787788802125962,4.755975195072267,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 4]",46.800000000000004,40.46358323097229
case107,27,2.1779096723085876,4.453670477442699,2.767765217107436,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 2, 4, 0, 4]",70.2,571.3223352432251
case108,27,2.6357790197361477,0.5847321022070022,0.10196113882092728,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3]",70.2,11.148435831069946
case109,4,0.4100755299965872,5.268980571440488,5.978680992077454,2.6,"[4, 4, 1, 1]",10.4,0.5070831775665283
